kind,query,algorithm,n,comparisons,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
uniform,hit,interpolation_search,30000,17.671875,1.556250026624184e-06,1.5921875728963641e-06,1.5671873825340299e-06,1.556250026624184e-06,1.543749931443017e-06,1.5296875517378794e-06
uniform,miss,linear_search,30000,30000,0.002303898437503449,0.002303898437503449,0.002346703125112981,0.002275351562502692,0.0023783531250956003,0.002278753124983268
uniform,miss,binary_search,30000,29.875,2.649999942150316e-06,2.649999942150316e-06,2.790624876070069e-06,2.651562454047962e-06,2.548437578298035e-06,2.5984375042753527e-06
uniform,miss,interpolation_search,30000,18.5625,1.5374998838524334e-06,1.6046874407038558e-06,1.529687324364204e-06,1.5890625491010724e-06,1.5374998838524334e-06,1.5250000160449417e-06
uniform,hit,linear_search,100000,48479.140625,0.003982975000099032,0.003982975000099032,0.003974526562387837,0.004007717187505477,0.003935121874974357,0.004047025000090798
uniform,hit,binary_search,100000,30.375,2.901562538681901e-06,2.9218751933512976e-06,2.9343750611587893e-06,2.901562538681901e-06,2.823437625920633e-06,2.8984375148866093e-06
uniform,hit,interpolation_search,100000,20.171875,1.7640625173953595e-06,1.7765626125765266e-06,1.7640625173953595e-06,1.7828126601671102e-06,1.7078123164537828e-06,1.7062500319298124e-06
uniform,miss,linear_search,100000,100000,0.008294909374853887,0.008492039062502954,0.00836928437502138,0.008271989062450302,0.008294909374853887,0.008258062500090091
uniform,miss,binary_search,100000,33.40625,2.9140624064893927e-06,3.017187509612995e-06,2.9140624064893927e-06,2.937500084954081e-06,2.8624999686144292e-06,2.873437324524275e-06
uniform,miss,interpolation_search,100000,21.734375,1.689062628429383e-06,1.6859373772604158e-06,1.7156251033156877e-06,1.689062628429383e-06,1.8828125121217454e-06,1.5953123693179805e-06
exponential,hit,linear_search,1000,559.015625,3.557968739187345e-05,3.579531266950653e-05,3.557968739187345e-05,3.586875004657486e-05,3.542500007824856e-05,3.5543750072974944e-05
exponential,hit,binary_search,1000,17.46875,1.5250000160449417e-06,1.5906250609987183e-06,1.5718749182269676e-06,1.5250000160449417e-06,1.5234375041472958e-06,1.5250000160449417e-06
exponential,hit,interpolation_search,1000,134.9375,8.634375035398989e-06,8.596875204602838e-06,8.634375035398989e-06,8.653124950797064e-06,8.696875056557474e-06,8.52968742037774e-06
exponential,miss,linear_search,1000,1000,6.986718767620914e-05,6.986718767620914e-05,7.139843751247099e-05,6.965156262594974e-05,7.049843748063722e-05,6.893281238262716e-05
exponential,miss,binary_search,1000,19.96875,1.734375018713763e-06,1.7859374565887265e-06,1.734375018713763e-06,1.7359375306114089e-06,1.734375018713763e-06,1.732812506816117e-06
exponential,miss,interpolation_search,1000,136.78125,8.906250059226295e-06,8.700000080352766e-06,8.731250090932008e-06,9.028125077747973e-06,9.018750006362097e-06,8.906250059226295e-06
exponential,hit,linear_search,3000,1401.625,9.798906239666394e-05,9.83359375368309e-05,9.798906239666394e-05,9.78921875685046e-05,0.00010103750014422985,9.769062489795033e-05
exponential,hit,binary_search,3000,20.25,1.8078123957820935e-06,1.8250000266561983e-06,1.896874891826883e-06,1.8078123957820935e-06,1.8015625755651854e-06,1.7812499208957888e-06
exponential,hit,interpolation_search,3000,172.046875,1.0868749996006954e-05,1.1012499953722e-05,1.0824999890246545e-05,1.0957812492051744e-05,1.0868749996006954e-05,1.080624997484847e-05
exponential,miss,linear_search,3000,3000,0.00022452187499766296,0.00022452187499766296,0.0002164578124848049,0.00022721406230630237,0.0002228203125014261,0.00024125468735292088
exponential,miss,binary_search,3000,23.3125,2.02656246983679e-06,2.049999920927803e-06,2.029687493632082e-06,2.02656246983679e-06,2.0234374460414983e-06,1.9999999949504854e-06
exponential,miss,interpolation_search,3000,174.515625,1.2934375035911216e-05,1.2934375035911216e-05,1.1665624924717122e-05,1.161718751063745e-05,1.3271875104692299e-05,1.747343753777386e-05
exponential,hit,linear_search,10000,4933.78125,0.00037814687516402046,0.0006422343751637527,0.00038589531231991714,0.0003683109373469051,0.00037814687516402046,0.000369668749954144
exponential,hit,binary_search,10000,23.96875,2.1359373931773007e-06,2.1328125967556844e-06,2.1359373931773007e-06,2.1374999050749466e-06,2.126562549165101e-06,2.228124913017382e-06
