kind,algorithm,pattern_id,pattern,m,n,matches,comparisons,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
texts_natural.txt,KMP,2,atuvodusa kumuvo dan,20,999999,1,1087580,0.15878690000681672,0.17265960000804625,0.15984490000118967,0.15820770000573248,0.15878690000681672,0.15845839999383315
texts_natural.txt,Rabin-Karp,2,atuvodusa kumuvo dan,20,999999,1,20,0.3536717000097269,0.3531012000021292,0.3498658000025898,0.3536717000097269,0.3543247000052361,0.36501289998705033
texts_natural.txt,BM bad,2,atuvodusa kumuvo dan,20,999999,1,96198,0.044406499990145676,0.04450370000267867,0.044406499990145676,0.0439226000016788,0.04468950000591576,0.04230830000597052
texts_natural.txt,BM both,2,atuvodusa kumuvo dan,20,999999,1,91859,0.041328599996631965,0.04385720001300797,0.040198799993959256,0.04430050001246855,0.04109460000472609,0.041328599996631965
texts_small_alphabet.txt,naive,3,dgbefgeeabcaecagdfggebabcedg,28,1000000,1,1166439,0.26030249999894295,0.2636906999978237,0.259572200011462,0.2606843999965349,0.26030249999894295,0.2574820000008913
texts_small_alphabet.txt,KMP,3,dgbefgeeabcaecagdfggebabcedg,28,1000000,1,1142832,0.1668037000054028,0.16619689999788534,0.16700760000094306,0.1668037000054028,0.16571859999385197,0.16712649998953566
texts_small_alphabet.txt,Rabin-Karp,3,dgbefgeeabcaecagdfggebabcedg,28,1000000,1,28,0.3518047999968985,0.34830099999089725,0.36437589999695774,0.3518047999968985,0.34852059998956975,0.3525768999970751
texts_small_alphabet.txt,BM bad,3,dgbefgeeabcaecagdfggebabcedg,28,1000000,1,296595,0.12388450000435114,0.1283222000056412,0.12325469999632332,0.12388450000435114,0.12065660000371281,0.1274556999997003
texts_small_alphabet.txt,BM both,3,dgbefgeeabcaecagdfggebabcedg,28,1000000,1,219601,0.0925106000067899,0.0925106000067899,0.10888919999706559,0.08854569999675732,0.09542670000519138,0.09011969999119174
texts_natural.txt,naive,4,udutoni bolan,13,999999,1,1094460,0.24967970000579953,0.24967970000579953,0.2446709999931045,0.2504183999990346,0.2515472000086447,0.24615149998862762
texts_natural.txt,KMP,4,udutoni bolan,13,999999,1,1087648,0.15364590000535827,0.1825641000032192,0.15342000000237022,0.15262859998620115,0.1608542000030866,0.15364590000535827
texts_natural.txt,Rabin-Karp,4,udutoni bolan,13,999999,1,13,0.34923589999380056,0.34923589999380056,0.3511760000110371,0.34538670000620186,0.3455434000061359,0.3494797000021208
texts_natural.txt,BM bad,4,udutoni bolan,13,999999,1,131187,0.05923129999428056,0.05923129999428056,0.06114940000406932,0.05838360000052489,0.05933079999522306,0.05873220000648871
texts_natural.txt,BM both,4,udutoni bolan,13,999999,1,129059,0.05708829998911824,0.05704440000408795,0.0572593999968376,0.05708829998911824,0.05706089999875985,0.05819359999441076
texts_small_alphabet.txt,naive,5,fdba,4,1000000,400,1166763,0.2591016999940621,0.2646881999971811,0.2591016999940621,0.2586074999999255,0.25225020000652876,0.26468239999667276
texts_small_alphabet.txt,KMP,5,fdba,4,1000000,400,1143154,0.16800220000732224,0.16800220000732224,0.16980319999856874,0.16591320000588894,0.16918049998639617,0.16355279998970218
texts_small_alphabet.txt,Rabin-Karp,5,fdba,4,1000000,400,1600,0.3340584000106901,0.31976169999688864,0.32870870000624564,0.3340584000106901,0.3510705999942729,0.33677710000483785
texts_small_alphabet.txt,BM bad,5,fdba,4,1000000,400,417964,0.17618470000161324,0.1772249999921769,0.17618470000161324,0.17457839999406133,0.18302939999557566,0.17405270000745077
texts_small_alphabet.txt,BM both,5,fdba,4,1000000,400,378538,0.16085159999784082,0.15828390000388026,0.16085159999784082,0.16127810000034515,0.16299729999445844,0.15654929999436717
texts_natural.txt,naive,6,pumeromone reva nopebo vob,26,999999,1,1048203,0.2482780999998795,0.2531666999857407,0.24416269999346696,0.24800770000729244,0.24974189999920782,0.2482780999998795
texts_natural.txt,KMP,6,pumeromone reva nopebo vob,26,999999,1,1039693,0.15678970000590198,0.15970840000954922,0.15521450000233017,0.15624850000313018,0.15819590000319295,0.15678970000590198
texts_natural.txt,Rabin-Karp,6,pumeromone reva nopebo vob,26,999999,1,26,0.3486592999979621,0.3486592999979621,0.345849300007103,0.3494409999984782,0.3478400000021793,0.349304100003792
texts_natural.txt,BM bad,6,pumeromone reva nopebo vob,26,999999,1,72526,0.032324700005119666,0.032324700005119666,0.031932900004903786,0.03294830000959337,0.03212239999265876,0.032329900001059286
texts_natural.txt,BM both,6,pumeromone reva nopebo vob,26,999999,1,71939,0.03278980001050513,0.03291580000950489,0.03171340000699274,0.03270969999721274,0.03290510000078939,0.03278980001050513
texts_small_alphabet.txt,naive,7,fgggcfbggacgdfbcfffe,20,1000000,1,1167324,0.2643267000094056,0.2643267000094056,0.26741829999082256,0.2581992000050377,0.25645229998917785,0.2797693999891635
texts_small_alphabet.txt,KMP,7,fgggcfbggacgdfbcfffe,20,1000000,1,1143568,0.16712980000011157,0.16685850000067148,0.16712980000011157,0.16676019999431446,0.1674380999902496,0.17586360000132117
texts_small_alphabet.txt,Rabin-Karp,7,fgggcfbggacgdfbcfffe,20,1000000,1,20,0.3517112999979872,0.34805970000161324,0.3565775000024587,0.3517112999979872,0.34889799999655224,0.35540149999724235
texts_small_alphabet.txt,BM bad,7,fgggcfbggacgdfbcfffe,20,1000000,1,210450,0.08876900000905152,0.08876900000905152,0.09893150000425521,0.09003949999168981,0.08790299999236595,0.08602090000931639
texts_small_alphabet.txt,BM both,7,fgggcfbggacgdfbcfffe,20,1000000,1,151395,0.062122900009853765,0.06092910000006668,0.061843699993914925,0.062122900009853765,0.06256340000254568,0.06471099999907892
