kind,algorithm,n,range,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
narrow,radix_sort,3000,30,0.0023079999955371022,0.0019176000059815124,0.0023079999955371022,0.0026063999976031482,0.0019530999998096377,0.002322100001038052
narrow,heap_sort,3000,30,0.010849300000700168,0.011210800003027543,0.010837399997399189,0.010849300000700168,0.010840699993423186,0.011017400000127964
narrow,quick_sort,3000,30,0.008208700004615821,0.006729599990649149,0.008892899990314618,0.007134599989512935,0.008208700004615821,0.009138000008533709
narrow,sorted,3000,30,0.00020789999689441174,0.0003073999978369102,0.00020989999757148325,0.00020789999689441174,0.00020429999858606607,0.0002010000025620684
narrow,merge_sort,10000,100,0.03762930000084452,0.03762930000084452,0.039395899992086925,0.03733700000157114,0.036709699998027645,0.04125860000203829
narrow,counting_sort,10000,100,0.004094799995073117,0.004150699998717755,0.00453820000984706,0.003175199992256239,0.004094799995073117,0.0031177999917417765
narrow,radix_sort,10000,100,0.006856400010292418,0.00861169998825062,0.0073884000012185425,0.006526500001200475,0.006838899993454106,0.006856400010292418
narrow,heap_sort,10000,100,0.04510859999572858,0.057195999994291924,0.05948670000361744,0.04510859999572858,0.04306189999624621,0.04310510000505019
narrow,quick_sort,10000,100,0.03836369999044109,0.034525899987784214,0.041770900003029965,0.03908449999289587,0.03750449999643024,0.03836369999044109
narrow,sorted,10000,100,0.0008794999885139987,0.000902900006622076,0.0008802000083960593,0.000869700001203455,0.0008794999885139987,0.0008701999904587865
narrow,merge_sort,30000,300,0.11739280000620056,0.11739280000620056,0.11852210000506602,0.11732089999713935,0.11740540000027977,0.11621259999810718
narrow,counting_sort,30000,300,0.009982000003219582,0.009847799999988638,0.010254599998006597,0.010142299986910075,0.00970219999726396,0.009982000003219582
narrow,radix_sort,30000,300,0.028706199998850934,0.028546999994432554,0.029273799998918548,0.031631299993023276,0.028706199998850934,0.027738299992051907
narrow,heap_sort,30000,300,0.15374310000333935,0.15461129999312107,0.15026349999243394,0.1937735999963479,0.15374310000333935,0.14904859999660403
narrow,quick_sort,30000,300,0.14424769999459386,0.14424769999459386,0.13819139999395702,0.16631020000204444,0.13717620000534225,0.1686863000068115
narrow,sorted,30000,300,0.0032565000001341105,0.003234500007238239,0.003237600001739338,0.0032565000001341105,0.0038975999923422933,0.003547100001014769
narrow,merge_sort,100000,1000,0.45763150000129826,0.48540479999792296,0.4570795000036014,0.45763150000129826,0.45842830000037793,0.44330390001414344
narrow,counting_sort,100000,1000,0.03642770000442397,0.03607799999008421,0.03554100000474136,0.03642770000442397,0.03758570000354666,0.037497900004382245
narrow,radix_sort,100000,1000,0.1149141000059899,0.11251540000375826,0.1149141000059899,0.11518059999798425,0.11168329999782145,0.16481440000643488
narrow,heap_sort,100000,1000,0.621408800012432,0.6081381999974838,0.6259372000058647,0.625080000012531,0.6155048000073293,0.621408800012432
narrow,quick_sort,100000,1000,0.6036983000085456,0.5740408000128809,0.6036983000085456,0.6388002000021515,0.5674107999948319,0.6184245999902487
narrow,sorted,100000,1000,0.015096599992830306,0.014034000007086433,0.015096599992830306,0.013476500011165626,0.015621800004737452,0.017995099988183938
sorted,merge_sort,1000,1995785,0.002186099998652935,0.002186099998652935,0.0021972999966237694,0.002202300005592406,0.0021847000025445595,0.0021103000035509467
sorted,counting_sort,1000,1995785,0.20165860000997782,0.19965459998638835,0.20315040000423323,0.20165860000997782,0.1975755999883404,0.20329940000374336
sorted,radix_sort,1000,1995785,0.0018718999926932156,0.001923300005728379,0.0018718999926932156,0.0019038000027649105,0.0018338999943807721,0.001815099996747449
sorted,heap_sort,1000,1995785,0.0030925999890314415,0.0030925999890314415,0.0030852000054437667,0.0030550000083167106,0.003312000000732951,0.0037012999964645132
sorted,quick_sort,1000,1995785,0.00526269999681972,0.0052026000048499554,0.00551160000031814,0.005561599988141097,0.00526269999681972,0.005087599987746216
sorted,sorted,1000,1995785,5.999987479299307e-06,6.300004315562546e-06,5.999987479299307e-06,6.000002031214535e-06,5.89998671784997e-06,5.900001269765198e-06
sorted,merge_sort,3000,1999280,0.00738949999504257,0.0076579000015044585,0.007342299999436364,0.007425400006468408,0.00738949999504257,0.007359700000961311
sorted,counting_sort,3000,1999280,0.212571800002479,0.212571800002479,0.20998369999870192,0.20710889999463689,0.21764770000299904,0.22917419999430422
sorted,radix_sort,3000,1999280,0.0055610000126762316,0.0055610000126762316,0.00568500001099892,0.006359200007864274,0.00554569999803789,0.005462000000989065
sorted,heap_sort,3000,1999280,0.01134969999839086,0.011198699998203665,0.011317799988319166,0.011670899999444373,0.01134969999839086,0.0114904999936698
sorted,quick_sort,3000,1999280,0.01901469999575056,0.01952629999141209,0.02255170000717044,0.01741760000004433,0.01901469999575056,0.017022100000758655
sorted,sorted,3000,1999280,1.5400000847876072e-05,1.580000389367342e-05,1.930000144056976e-05,1.5400000847876072e-05,1.5199999324977398e-05,1.5199999324977398e-05
sorted,merge_sort,10000,1999894,0.02862240000104066,0.02862240000104066,0.0280512000026647,0.028309200002695434,0.02967509999871254,0.028642699995543808
sorted,counting_sort,10000,1999894,0.21856300000217743,0.21856300000217743,0.2169514999986859,0.2206030999950599,0.21684379999351222,0.22054629999911413
sorted,radix_sort,10000,1999894,0.01957099999708589,0.01957099999708589,0.019533799990313128,0.019284399997559376,0.01981730000989046,0.02016080000612419
sorted,heap_sort,10000,1999894,0.045357299997704104,0.04786969999258872,0.045357299997704104,0.04437310001230799,0.04507180000655353,0.046847000005072914
sorted,quick_sort,10000,1999894,0.07416109999758191,0.07416109999758191,0.07289399999717716,0.07060629999614321,0.09083780000219122,0.07785149999835994
sorted,sorted,10000,1999894,5.370000144466758e-05,5.4100004490464926e-05,5.370000144466758e-05,5.330001295078546e-05,5.9300000430084765e-05,5.360000068321824e-05
sorted,merge_sort,30000,1999880,0.09824120000121184,0.09525809998740442,0.10131310000724625,0.09532789999502711,0.09824120000121184,0.09841999999480322
sorted,counting_sort,30000,1999880,0.2308606000005966,0.22890519999782555,0.2305536000058055,0.2308606000005966,0.2350995999877341,0.23825049999868497
sorted,radix_sort,30000,1999880,0.06407079999917187,0.06129589999909513,0.0644726000027731,0.07946549999178387,0.06407079999917187,0.06215399999928195
sorted,heap_sort,30000,1999880,0.15644659999816213,0.1573534000053769,0.15626020000490826,0.1555309999966994,0.15644659999816213,0.15785830000822898
